,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Denico Autry,TEN,0,0,0,0,0,1.5,3,2,1,1,2,0,0,0,0
1,Olasunkanmi Adeniyi,TEN,0,0,0,0,0,1.0,3,2,1,1,1,0,0,0,0
2,Jeffery Simmons,TEN,0,0,0,0,0,0.5,1,0,1,0,1,0,0,0,0
3,Harold Landry,TEN,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0
4,Chris Jackson,TEN,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
5,Janoris Jenkins,TEN,0,0,0,0,1,0.0,6,4,2,0,0,0,0,0,0
6,David Long,TEN,0,0,0,0,0,0.0,6,2,4,1,0,0,0,0,0
7,Rashaan Evans,TEN,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
8,Kevin Byard,TEN,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,0
9,Dane Cruikshank,TEN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
10,Bradley McDougald,TEN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
11,Elijah Molden,TEN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
12,Teair Tart,TEN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
13,Bud Dupree,TEN,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
14,Nick Dzubnar,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
15,Kristian Fulton,TEN,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
16,Racey McMath,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
17,Larrell Murchison,TEN,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
18,Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
21,Bobby Wagner,SEA,0,0,0,0,0,1.0,20,16,4,1,2,0,0,0,0
22,Al Woods,SEA,0,0,0,0,0,1.0,7,5,2,1,1,0,0,0,0
23,Alton Robinson,SEA,0,0,0,0,0,1.0,1,1,0,0,1,0,0,0,1
24,Quandre Diggs,SEA,0,0,0,0,0,0.0,10,5,5,0,0,0,0,0,0
25,Jordyn Brooks,SEA,0,0,0,0,0,0.0,9,3,6,0,0,0,0,0,0
26,D.J. Reed,SEA,0,0,0,0,0,0.0,9,6,3,0,0,0,0,0,0
27,Jamal Adams,SEA,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,0
28,Robert Nkemdiche,SEA,0,0,0,0,0,0.0,7,2,5,0,0,0,0,0,0
29,Tre Flowers,SEA,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
30,Poona Ford,SEA,0,0,0,0,0,0.0,4,2,2,1,1,0,0,0,0
31,Kerry Hyder,SEA,0,0,0,0,0,0.0,4,3,1,1,2,1,0,0,0
32,Cody Barton,SEA,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
33,Nick Bellore,SEA,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
34,Benson Mayowa,SEA,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
35,Ugo Amadi,SEA,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0
36,DeeJay Dallas,SEA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
37,Rasheem Green,SEA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
38,L.J. Collier,SEA,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
39,Travis Homer,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
40,Ryan Neal,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
41,Jon Rhattigan,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
42,Darrell Taylor,SEA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
