,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Sam Hubbard,CIN,0,0,0,0,1,2.5,5,3,2,2,3,0,0,0,0
1,Larry Ogunjobi,CIN,0,0,0,0,0,1.5,6,5,1,2,2,0,0,0,0
2,Trey Hendrickson,CIN,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
3,Jessie Bates III,CIN,0,0,0,0,0,0.0,7,4,3,1,0,0,0,0,0
4,Logan Wilson,CIN,0,0,0,0,0,0.0,7,5,2,1,0,0,0,0,0
5,Akeem Davis-Gaither,CIN,0,0,0,0,1,0.0,6,3,3,0,0,0,0,0,1
6,Chidobe Awuzie,CIN,0,0,0,0,1,0.0,5,4,1,0,0,0,0,0,0
7,Vonn Bell,CIN,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
8,Joe Bachie,CIN,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
9,Germaine Pratt,CIN,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
10,Ricardo Allen,CIN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
11,Markus Bailey,CIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
12,Jalen Davis,CIN,0,0,0,0,1,0.0,2,0,2,0,0,0,0,0,0
13,Mike Hilton,CIN,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
14,D.J. Reader,CIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
15,Cameron Sample,CIN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
16,Eli Apple,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
17,Tre Flowers,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
18,B.J. Hill,CIN,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
19,Brandon Wilson,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
20,Darius Phillips,CIN,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
23,Marlon Humphrey,BAL,1,0,0,0,1,0.0,7,4,3,0,0,0,0,0,1
24,Tyus Bowser,BAL,0,0,0,0,0,0.5,6,2,4,1,1,0,0,0,0
25,Calais Campbell,BAL,0,0,0,0,0,0.5,5,2,3,0,2,0,0,0,0
26,Anthony Averett,BAL,0,0,0,0,3,0.0,7,7,0,0,0,0,0,0,0
27,Josh Bynes,BAL,0,0,0,0,0,0.0,6,5,1,1,0,0,0,0,0
28,Justin Madubuike,BAL,0,0,0,0,0,0.0,4,1,3,1,0,0,0,0,0
29,Chuck Clark,BAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
30,DeShon Elliott,BAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
31,Justin Ellis,BAL,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
32,Justin Houston,BAL,0,0,0,0,0,0.0,2,1,1,0,4,0,0,0,0
33,Pernell McPhee,BAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
34,Patrick Queen,BAL,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
35,Tylan Wallace,BAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
36,Brandon Williams,BAL,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0
37,Tavon Young,BAL,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
38,Chris Board,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
39,Malik Harrison,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
40,Anthony Levine,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
41,Odafe Oweh,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
42,Jimmy Smith,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
43,Brandon Stephens,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
44,Kristian Welch,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
45,Mark Andrews,BAL,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
