,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Germain Ifedi,T,CHI,58,100%,0,0%,4,19%
1,Cody Whitehair,G,CHI,58,100%,0,0%,4,19%
2,Sam Mustipher,C,CHI,58,100%,0,0%,4,19%
3,James Daniels,G,CHI,58,100%,0,0%,4,19%
4,Jason Peters,T,CHI,58,100%,0,0%,0,0%
5,Justin Fields,QB,CHI,58,100%,0,0%,0,0%
6,Cole Kmet,TE,CHI,57,98%,0,0%,5,24%
7,Darnell Mooney,WR,CHI,41,71%,0,0%,0,0%
8,Allen Robinson,WR,CHI,40,69%,0,0%,0,0%
9,David Montgomery,RB,CHI,36,62%,0,0%,0,0%
10,Marquise Goodwin,WR,CHI,29,50%,0,0%,0,0%
11,Jimmy Graham,TE,CHI,22,38%,0,0%,0,0%
12,Damien Williams,RB,CHI,19,33%,0,0%,5,24%
13,Damiere Byrd,WR,CHI,16,28%,0,0%,0,0%
14,J.P. Holtz,TE,CHI,11,19%,0,0%,16,77%
15,Jesse James,TE,CHI,9,16%,0,0%,7,33%
16,Khalil Herbert,RB,CHI,7,12%,0,0%,15,72%
17,Alex Bars,G,CHI,3,5%,0,0%,4,19%
18,Deon Bush,SS,CHI,0,0%,71,100%,7,33%
19,Kindle Vildor,CB,CHI,0,0%,71,100%,2,10%
20,Roquan Smith,LB,CHI,0,0%,71,100%,2,10%
21,Eddie Jackson,SS,CHI,0,0%,71,100%,0,0%
22,Jaylon Johnson,CB,CHI,0,0%,71,100%,0,0%
23,Duke Shelley,CB,CHI,0,0%,60,85%,5,24%
24,Alec Ogletree,LB,CHI,0,0%,56,79%,4,19%
25,Robert Quinn,LB,CHI,0,0%,53,75%,0,0%
26,Angelo Blackson,DT,CHI,0,0%,48,68%,2,10%
27,Bilal Nichols,DE,CHI,0,0%,40,56%,2,10%
28,Khalil Mack,LB,CHI,0,0%,34,48%,0,0%
29,Jeremiah Attaochu,LB,CHI,0,0%,31,44%,3,14%
30,Eddie Goldman,NT,CHI,0,0%,31,44%,0,0%
31,Mario Edwards,DT,CHI,0,0%,28,39%,2,10%
32,Trevis Gipson,LB,CHI,0,0%,24,34%,5,24%
33,DeAndre Houston-Carson,FS,CHI,0,0%,13,18%,17,81%
34,Khyiris Tonga,NT,CHI,0,0%,7,10%,2,10%
35,Akiem Hicks,DT,CHI,0,0%,1,1%,0,0%
36,Xavier Crawford,CB,CHI,0,0%,0,0%,17,81%
37,Christian Jones,LB,CHI,0,0%,0,0%,17,81%
38,Caleb Johnson,LB,CHI,0,0%,0,0%,17,81%
39,Marqui Christian,SS,CHI,0,0%,0,0%,13,62%
40,Nsimba Webster,WR,CHI,0,0%,0,0%,12,57%
41,Cairo Santos,K,CHI,0,0%,0,0%,9,43%
42,Pat O'Donnell,P,CHI,0,0%,0,0%,8,38%
43,Patrick Scales,LS,CHI,0,0%,0,0%,8,38%
44,Artie Burns,CB,CHI,0,0%,0,0%,4,19%
45,Elijah Wilkinson,T,CHI,0,0%,0,0%,4,19%
0,Matt Nelson,T,DET,71,100%,0,0%,2,10%
1,Halapoulivaati Vaitai,G,DET,71,100%,0,0%,2,10%
2,Jonah Jackson,G,DET,71,100%,0,0%,2,10%
3,Penei Sewell,T,DET,71,100%,0,0%,2,10%
4,Jared Goff,QB,DET,71,100%,0,0%,0,0%
5,Quintez Cephus,WR,DET,62,87%,0,0%,0,0%
6,Evan Brown,C,DET,60,85%,0,0%,2,10%
7,T.J. Hockenson,TE,DET,58,82%,0,0%,0,0%
8,Kalif Raymond,WR,DET,53,75%,0,0%,4,19%
9,D'Andre Swift,RB,DET,52,73%,0,0%,0,0%
10,Amon-Ra St. Brown,WR,DET,51,72%,0,0%,5,24%
11,Jamaal Williams,RB,DET,21,30%,0,0%,0,0%
12,Trinity Benson,WR,DET,20,28%,0,0%,0,0%
13,Darren Fells,TE,DET,19,27%,0,0%,2,10%
14,Jason Cabinda,FB,DET,11,15%,0,0%,15,71%
15,Frank Ragnow,C,DET,11,15%,0,0%,0,0%
16,KhaDarel Hodge,WR,DET,8,11%,0,0%,14,67%
17,Amani Oruwariye,CB,DET,0,0%,58,100%,4,19%
18,Alex Anzalone,LB,DET,0,0%,58,100%,4,19%
19,Charles Harris,LB,DET,0,0%,52,90%,4,19%
20,Michael Brockers,DE,DET,0,0%,46,79%,0,0%
21,Will Harris,SS,DET,0,0%,43,74%,7,33%
22,Austin Bryant,LB,DET,0,0%,43,74%,5,24%
23,Nick Williams,DE,DET,0,0%,40,69%,0,0%
24,Jalen Reeves-Maybin,LB,DET,0,0%,38,66%,3,14%
25,AJ Parker,CB,DET,0,0%,38,66%,0,0%
26,Tracy Walker,FS,DET,0,0%,35,60%,7,33%
27,Bobby Price,FS,DET,0,0%,35,60%,4,19%
28,Alim McNeill,NT,DET,0,0%,21,36%,4,19%
29,Daryl Worley,CB,DET,0,0%,20,34%,4,19%
30,Dean Marlowe,SS,DET,0,0%,19,33%,8,38%
31,Jerry Jacobs,CB,DET,0,0%,18,31%,10,48%
32,Derrick Barnes,LB,DET,0,0%,18,31%,5,24%
33,Levi Onwuzurike,DE,DET,0,0%,17,29%,4,19%
34,Romeo Okwara,LB,DET,0,0%,14,24%,1,5%
35,John Penisini,NT,DET,0,0%,13,22%,4,19%
36,Julian Okwara,LB,DET,0,0%,12,21%,8,38%
37,Anthony Pittman,LB,DET,0,0%,0,0%,19,90%
38,Josh Woods,LB,DET,0,0%,0,0%,15,71%
39,C.J. Moore,FS,DET,0,0%,0,0%,15,71%
40,Godwin Igwebuike,RB,DET,0,0%,0,0%,15,71%
41,Corey Ballentine,CB,DET,0,0%,0,0%,12,57%
42,Ryan Santoso,K,DET,0,0%,0,0%,5,24%
43,Jack Fox,P,DET,0,0%,0,0%,5,24%
44,Scott Daly,LS,DET,0,0%,0,0%,5,24%
45,Logan Stenberg,G,DET,0,0%,0,0%,2,10%
46,Will Holden,T,DET,0,0%,0,0%,2,10%
